countryCode,countryName,year,electricityAccess,region
NLD,Netherlands,2013,100.0,Europe & Central Asia
NZL,New Zealand,2013,100.0,East Asia & Pacific
NGA,Nigeria,2013,55.6,Sub-Saharan Africa
KEN,Kenya,2016,53.1,Sub-Saharan Africa
KOR,"Korea, Rep.",2016,100.0,East Asia & Pacific
MAR,Morocco,2012,96.4,Middle East & North Africa
NPL,Nepal,2012,75.2,South Asia
NLD,Netherlands,2012,100.0,Europe & Central Asia
NZL,New Zealand,2012,100.0,East Asia & Pacific
CHL,Chile,2018,100.0,Latin America & Caribbean
CHN,China,2018,100.0,East Asia & Pacific
COL,Colombia,2018,98.5,Latin America & Caribbean
THA,Thailand,2014,99.5,East Asia & Pacific
UGA,Uganda,2014,20.4,Sub-Saharan Africa
UKR,Ukraine,2014,100.0,Europe & Central Asia
IND,India,2018,95.7,South Asia
IDN,Indonesia,2018,98.5,East Asia & Pacific
IRN,"Iran, Islamic Rep.",2018,100.0,Middle East & North Africa
IRQ,Iraq,2018,99.9,Middle East & North Africa
ITA,Italy,2018,100.0,Europe & Central Asia
CAN,Canada,2011,100.0,North America
CHL,Chile,2011,99.6,Latin America & Caribbean
CHN,China,2011,99.9,East Asia & Pacific
COL,Colombia,2011,96.7,Latin America & Caribbean
BRA,Brazil,2012,99.5,Latin America & Caribbean
CAN,Canada,2012,100.0,North America
CHL,Chile,2012,100.0,Latin America & Caribbean
CHN,China,2012,99.9,East Asia & Pacific
COL,Colombia,2012,97.0,Latin America & Caribbean
BRA,Brazil,2017,99.8,Latin America & Caribbean
CAN,Canada,2017,100.0,North America
BRA,Brazil,2014,99.7,Latin America & Caribbean
IND,India,2016,89.6,South Asia
IDN,Indonesia,2016,97.6,East Asia & Pacific
IRN,"Iran, Islamic Rep.",2016,100.0,Middle East & North Africa
IRQ,Iraq,2016,99.7,Middle East & North Africa
ITA,Italy,2016,100.0,Europe & Central Asia
JPN,Japan,2016,100.0,East Asia & Pacific
ARG,Argentina,2017,100.0,Latin America & Caribbean
AUS,Australia,2017,100.0,East Asia & Pacific
NGA,Nigeria,2017,54.4,Sub-Saharan Africa
NOR,Norway,2017,100.0,Europe & Central Asia
PAK,Pakistan,2017,92.7,South Asia
PER,Peru,2017,94.8,Latin America & Caribbean
PHL,Philippines,2017,93.0,East Asia & Pacific
MYS,Malaysia,2014,99.7,East Asia & Pacific
KEN,Kenya,2013,40.1,Sub-Saharan Africa
KOR,"Korea, Rep.",2013,100.0,East Asia & Pacific
ARG,Argentina,2014,100.0,Latin America & Caribbean
AUS,Australia,2014,100.0,East Asia & Pacific
BGD,Bangladesh,2014,62.4,South Asia
NPL,Nepal,2009,59.3,South Asia
NLD,Netherlands,2009,100.0,Europe & Central Asia
NZL,New Zealand,2009,100.0,East Asia & Pacific
NGA,Nigeria,2009,50.0,Sub-Saharan Africa
NOR,Norway,2009,100.0,Europe & Central Asia
MAR,Morocco,2017,100.0,Middle East & North Africa
NPL,Nepal,2017,86.6,South Asia
NLD,Netherlands,2017,100.0,Europe & Central Asia
NZL,New Zealand,2017,100.0,East Asia & Pacific
SAU,Saudi Arabia,2013,100.0,Middle East & North Africa
MYS,Malaysia,2016,99.9,East Asia & Pacific
ARG,Argentina,2016,99.9,Latin America & Caribbean
AUS,Australia,2016,100.0,East Asia & Pacific
BGD,Bangladesh,2016,75.9,South Asia
ITA,Italy,2012,100.0,Europe & Central Asia
JPN,Japan,2012,100.0,East Asia & Pacific
KEN,Kenya,2012,38.1,Sub-Saharan Africa
KOR,"Korea, Rep.",2012,100.0,East Asia & Pacific
ETH,Ethiopia,2013,30.8,Sub-Saharan Africa
FRA,France,2013,100.0,Europe & Central Asia
DEU,Germany,2013,100.0,Europe & Central Asia
IND,India,2009,75.0,South Asia
IDN,Indonesia,2009,93.6,East Asia & Pacific
IRN,"Iran, Islamic Rep.",2009,99.7,Middle East & North Africa
IRQ,Iraq,2009,98.1,Middle East & North Africa
ITA,Italy,2009,100.0,Europe & Central Asia
JPN,Japan,2009,100.0,East Asia & Pacific
ZAF,South Africa,2017,84.4,Sub-Saharan Africa
CAN,Canada,2010,100.0,North America
CHL,Chile,2010,99.5,Latin America & Caribbean
CHN,China,2010,99.7,East Asia & Pacific
COL,Colombia,2010,96.8,Latin America & Caribbean
MAR,Morocco,2014,97.3,Middle East & North Africa
NPL,Nepal,2014,84.9,South Asia
NLD,Netherlands,2014,100.0,Europe & Central Asia
NZL,New Zealand,2014,100.0,East Asia & Pacific
BRA,Brazil,2006,97.6,Latin America & Caribbean
NOR,Norway,2013,100.0,Europe & Central Asia
PAK,Pakistan,2013,89.3,South Asia
PER,Peru,2013,92.1,Latin America & Caribbean
PHL,Philippines,2013,87.5,East Asia & Pacific
POL,Poland,2013,100.0,Europe & Central Asia
MYS,Malaysia,2013,99.6,East Asia & Pacific
ZAF,South Africa,2014,85.9,Sub-Saharan Africa
CAN,Canada,2014,100.0,North America
CHL,Chile,2014,100.0,Latin America & Caribbean
CAN,Canada,2016,100.0,North America
CHL,Chile,2016,100.0,Latin America & Caribbean
IRN,"Iran, Islamic Rep.",2006,98.4,Middle East & North Africa
IRQ,Iraq,2006,97.6,Middle East & North Africa
ITA,Italy,2006,100.0,Europe & Central Asia
JPN,Japan,2006,100.0,East Asia & Pacific
KEN,Kenya,2006,26.4,Sub-Saharan Africa
NPL,Nepal,2008,56.0,South Asia
NLD,Netherlands,2008,100.0,Europe & Central Asia
NZL,New Zealand,2008,100.0,East Asia & Pacific
NGA,Nigeria,2008,50.3,Sub-Saharan Africa
NOR,Norway,2008,100.0,Europe & Central Asia
NGA,Nigeria,2014,54.2,Sub-Saharan Africa
NOR,Norway,2014,100.0,Europe & Central Asia
PAK,Pakistan,2014,90.1,South Asia
PER,Peru,2014,92.9,Latin America & Caribbean
PHL,Philippines,2014,89.8,East Asia & Pacific
CHL,Chile,2019,100.0,Latin America & Caribbean
CHN,China,2019,100.0,East Asia & Pacific
COL,Colombia,2019,99.4,Latin America & Caribbean
KEN,Kenya,2009,23.0,Sub-Saharan Africa
KOR,"Korea, Rep.",2009,100.0,East Asia & Pacific
CAN,Canada,2004,100.0,North America
CHL,Chile,2004,97.5,Latin America & Caribbean
CHN,China,2004,97.7,East Asia & Pacific
COL,Colombia,2004,95.3,Latin America & Caribbean
ARG,Argentina,2013,99.3,Latin America & Caribbean
AUS,Australia,2013,100.0,East Asia & Pacific
BGD,Bangladesh,2013,61.5,South Asia
IND,India,2008,74.1,South Asia
IDN,Indonesia,2008,92.7,East Asia & Pacific
IRN,"Iran, Islamic Rep.",2008,98.8,Middle East & North Africa
IRQ,Iraq,2008,97.9,Middle East & North Africa
ITA,Italy,2008,100.0,Europe & Central Asia
ETH,Ethiopia,2014,27.2,Sub-Saharan Africa
FRA,France,2014,100.0,Europe & Central Asia
DEU,Germany,2014,100.0,Europe & Central Asia
CAN,Canada,2015,100.0,North America
CHL,Chile,2015,99.7,Latin America & Caribbean
CHN,China,2015,100.0,East Asia & Pacific
COL,Colombia,2015,98.2,Latin America & Caribbean
CAN,Canada,2020,100.0,North America
CHL,Chile,2020,100.0,Latin America & Caribbean
CHN,China,2020,100.0,East Asia & Pacific
COL,Colombia,2020,99.7,Latin America & Caribbean
ARG,Argentina,2012,99.1,Latin America & Caribbean
AUS,Australia,2012,100.0,East Asia & Pacific
IND,India,2004,64.4,South Asia
IDN,Indonesia,2004,89.0,East Asia & Pacific
IRN,"Iran, Islamic Rep.",2004,98.3,Middle East & North Africa
IRQ,Iraq,2004,97.3,Middle East & North Africa
SWE,Sweden,2005,100.0,Europe & Central Asia
TZA,Tanzania,2005,13.8,Sub-Saharan Africa
THA,Thailand,2005,92.8,East Asia & Pacific
IRQ,Iraq,2010,98.4,Middle East & North Africa
ITA,Italy,2010,100.0,Europe & Central Asia
JPN,Japan,2010,100.0,East Asia & Pacific
KEN,Kenya,2010,19.2,Sub-Saharan Africa
CHN,China,2006,98.2,East Asia & Pacific
COL,Colombia,2006,95.7,Latin America & Caribbean
BGD,Bangladesh,2017,88.0,South Asia
THA,Thailand,2016,99.9,East Asia & Pacific
UGA,Uganda,2016,26.7,Sub-Saharan Africa
UKR,Ukraine,2016,100.0,Europe & Central Asia
ZAF,South Africa,2016,83.9,Sub-Saharan Africa
ESP,Spain,2016,100.0,Europe & Central Asia
BRA,Brazil,2010,98.6,Latin America & Caribbean
JPN,Japan,2018,100.0,East Asia & Pacific
KEN,Kenya,2018,61.2,Sub-Saharan Africa
KOR,"Korea, Rep.",2018,100.0,East Asia & Pacific
BRA,Brazil,2013,99.6,Latin America & Caribbean
NPL,Nepal,2019,89.9,South Asia
NLD,Netherlands,2019,100.0,Europe & Central Asia
NZL,New Zealand,2019,100.0,East Asia & Pacific
NGA,Nigeria,2019,55.4,Sub-Saharan Africa
IND,India,2012,79.9,South Asia
IDN,Indonesia,2012,96.0,East Asia & Pacific
IRN,"Iran, Islamic Rep.",2012,99.5,Middle East & North Africa
IRQ,Iraq,2012,99.3,Middle East & North Africa
UGA,Uganda,2008,15.9,Sub-Saharan Africa
UKR,Ukraine,2008,99.8,Europe & Central Asia
ARE,United Arab Emirates,2008,100.0,Middle East & North Africa
GBR,United Kingdom,2008,100.0,Europe & Central Asia
USA,United States,2008,100.0,North America
UGA,Uganda,2013,13.9,Sub-Saharan Africa
UKR,Ukraine,2013,100.0,Europe & Central Asia
ARE,United Arab Emirates,2013,100.0,Middle East & North Africa
GBR,United Kingdom,2013,100.0,Europe & Central Asia
USA,United States,2013,100.0,North America
ITA,Italy,2011,100.0,Europe & Central Asia
JPN,Japan,2011,100.0,East Asia & Pacific
KEN,Kenya,2011,36.2,Sub-Saharan Africa
KOR,"Korea, Rep.",2011,100.0,East Asia & Pacific
